date,open,close,high,low,volume
2023-02-07,3245.230,3248.090,3250.030,3233.830,250946450.000
2023-02-08,3251.500,3232.110,3257.110,3230.440,234530481.000
2023-02-09,3227.730,3270.380,3270.380,3225.770,254754529.000
2023-02-10,3266.440,3260.670,3269.990,3247.230,260626926.000
2023-02-13,3256.990,3284.160,3285.090,3252.630,297213188.000
2023-02-14,3288.970,3293.280,3293.730,3279.190,270974168.000
2023-02-15,3294.020,3280.490,3296.200,3274.550,269939123.000
2023-02-16,3281.740,3249.030,3308.830,3231.340,380863545.000
2023-02-17,3244.730,3224.020,3262.470,3223.260,278451237.000
2023-02-20,3230.470,3290.340,3291.040,3225.840,325007733.000
2023-02-21,3291.630,3306.520,3308.790,3282.440,324409449.000
2023-02-22,3292.050,3291.150,3307.030,3286.720,255403985.000
2023-02-23,3293.520,3287.480,3307.440,3275.360,262324304.000
2023-02-24,3287.260,3267.160,3288.390,3253.970,234206306.000
2023-02-27,3257.000,3258.030,3276.580,3251.720,242855344.000
2023-02-28,3265.740,3279.610,3280.420,3246.140,251625032.000
2023-03-01,3279.140,3312.350,3315.160,3272.040,318398704.000
2023-03-02,3308.010,3310.650,3320.740,3306.460,328520016.000
2023-03-03,3314.770,3328.390,3330.600,3302.620,343996919.000
2023-03-06,3332.020,3322.030,3333.060,3308.730,340530446.000
2023-03-07,3320.210,3285.100,3342.860,3284.410,389957956.000
2023-03-08,3271.880,3283.250,3283.250,3263.690,260443547.000
2023-03-09,3285.940,3276.090,3289.060,3260.000,264021859.000
2023-03-10,3255.510,3230.080,3262.150,3229.500,281135410.000
2023-03-13,3228.120,3268.700,3268.700,3228.120,294928087.000
2023-03-14,3261.920,3245.310,3262.000,3216.990,319906033.000
2023-03-15,3261.030,3263.310,3273.120,3256.860,305168798.000
2023-03-16,3244.470,3226.890,3257.430,3224.720,327389632.000
2023-03-17,3245.260,3250.550,3279.920,3240.160,343001022.000
2023-03-20,3253.930,3234.910,3267.990,3231.650,392517391.000
2023-03-21,3240.840,3255.650,3256.000,3237.890,301810779.000
2023-03-22,3263.410,3265.750,3279.390,3255.740,290840462.000
2023-03-23,3258.780,3286.650,3286.650,3252.990,306118393.000
2023-03-24,3282.740,3265.650,3282.740,3260.840,324513337.000
2023-03-27,3261.820,3251.400,3261.820,3229.700,337861206.000
2023-03-28,3256.600,3245.380,3264.100,3241.740,295682660.000
2023-03-29,3253.620,3240.060,3254.560,3229.580,296900508.000
2023-03-30,3243.070,3261.250,3263.740,3220.980,299898295.000
2023-03-31,3263.410,3272.860,3278.420,3260.040,283613746.000
2023-04-03,3277.340,3296.400,3299.730,3276.420,357676775.000
2023-04-04,3297.180,3312.560,3312.560,3290.990,385871617.000
2023-04-06,3302.750,3312.630,3314.530,3296.060,327155424.000
2023-04-07,3312.480,3327.650,3328.850,3308.060,283032247.000
2023-04-10,3331.510,3315.360,3332.720,3309.920,340819845.000
2023-04-11,3317.080,3313.570,3317.450,3298.250,320566055.000
2023-04-12,3316.860,3327.180,3330.710,3315.400,343025315.000
2023-04-13,3321.270,3318.360,3334.470,3309.250,347862106.000
2023-04-14,3326.370,3338.150,3340.080,3316.810,338299275.000
2023-04-17,3337.060,3385.610,3385.610,3336.390,402809926.000
2023-04-18,3379.230,3393.330,3396.170,3375.780,348399486.000
2023-04-19,3391.350,3370.130,3394.960,3364.640,346123443.000
2023-04-20,3367.050,3367.030,3371.370,3344.020,350354965.000
2023-04-21,3364.000,3301.260,3367.610,3301.260,387395098.000
2023-04-24,3300.810,3275.410,3303.090,3264.930,354255626.000
2023-04-25,3276.400,3264.870,3288.570,3229.450,380895729.000
2023-04-26,3255.220,3264.100,3277.980,3239.990,357917842.000
2023-04-27,3256.230,3285.880,3299.300,3253.110,341590534.000
2023-04-28,3283.120,3323.270,3324.880,3283.120,401554785.000
2023-05-04,3306.480,3350.460,3352.750,3302.030,483364916.000
2023-05-05,3350.650,3334.500,3364.140,3321.190,436504494.000
2023-05-08,3340.990,3395.000,3400.180,3340.990,534103659.000
2023-05-09,3402.390,3357.670,3418.950,3356.120,573013309.000
2023-05-10,3347.700,3319.150,3349.720,3305.250,451739731.000
2023-05-11,3323.660,3309.550,3333.250,3307.290,354258271.000
2023-05-12,3304.460,3272.360,3319.130,3271.430,347314983.000
2023-05-15,3269.880,3310.740,3310.740,3235.870,388045887.000
2023-05-16,3310.160,3290.990,3317.900,3282.490,322479410.000
2023-05-17,3281.970,3284.230,3298.520,3269.890,285744050.000
2023-05-18,3288.410,3297.320,3313.860,3284.170,309967472.000
2023-05-19,3288.890,3283.540,3302.340,3268.220,285404064.000
2023-05-22,3278.600,3296.470,3308.530,3276.540,273889998.000
2023-05-23,3294.790,3246.240,3298.230,3246.240,275279083.000
2023-05-24,3237.700,3204.750,3237.700,3204.380,288720257.000
2023-05-25,3197.360,3201.260,3207.020,3168.570,283588925.000
